,Index,Laureate,Discipline,Year of award,Affiliation
609,,Bengt I. Samuelsson,Physiology or Medicine,1982,Karolinska Institute
610,,Aziz Sancar,Chemistry,2015,University of North Carolina at Chapel Hill
611,,Frederick Sanger,Chemistry,1958,University of Cambridge
612,,Chemistry,1980,MRC Laboratory of Molecular Biology,
613,,Thomas J. Sargent,Economics,2011,New York University
614,,Jean-Pierre Sauvage,Chemistry,2016,University of Strasbourg
615,,Andrew Schally,Physiology or Medicine,1977,"Veterans Administration Hospital, New Orleans"
616,,Arthur Leonard Schawlow,Physics,1981,Stanford University
617,,Dan Shechtman,Chemistry,2011,Technion – Israel Institute of Technology
618,,Randy Schekman,Physiology or Medicine,2013,Howard Hughes Medical Institute
619,,"University of California, Berkeley",,,
620,,Thomas Schelling,Economics,2005,"University of Maryland, College Park"
621,,Brian Schmidt,Physics,2011,Australian National University
622,,Myron Scholes,Economics,1997,Long-Term Capital Management
623,,John Robert Schrieffer,Physics,1972,University of Pennsylvania
624,,Richard R. Schrock,Chemistry,2005,Massachusetts Institute of Technology
625,,Erwin Schrödinger,Physics,1933,Humboldt University of Berlin
626,,Theodore Schultz,Economics,1979,University of Chicago
627,,Melvin Schwartz,Physics,1988,Digital Pathways
628,,Julian Schwinger,Physics,1965,Harvard University
629,,Glenn T. Seaborg,Chemistry,1951,"University of California, Berkeley"
630,,Emilio Segrè,Physics,1959,"University of California, Berkeley"
631,,Reinhard Selten,Economics,1994,University of Bonn
632,,Gregg L. Semenza,Physiology or Medicine,2019,Johns Hopkins University
633,,Nikolay Semyonov,Chemistry,1956,Institute for Chemical Physics of the Academy of Sciences of the USSR
634,,Moscow State University,,,
635,,Amartya Sen,Economics,1998,"Trinity College, Cambridge"
636,,Lloyd Shapley,Economics,2012,"University of California, Los Angeles"
637,,Phillip Allen Sharp,Physiology or Medicine,1993,Massachusetts Institute of Technology
638,,William F. Sharpe,Economics,1990,Stanford University
639,,Karl Barry Sharpless,Chemistry,2001,Scripps Research
640,,Charles Scott Sherrington,Physiology or Medicine,1932,University of Oxford
641,,Robert J. Shiller,Economics,2013,Yale University
642,,Osamu Shimomura,Chemistry,2008,Boston University School of Medicine
643,,Marine Biological Laboratory,,,
644,,Hideki Shirakawa,Chemistry,2000,University of Tsukuba
645,,William Shockley,Physics,1956,Beckman Instruments
646,,Clifford Shull,Physics,1994,Massachusetts Institute of Technology
647,,Kai Siegbahn,Physics,1981,Uppsala University
648,,Manne Siegbahn,Physics,1924,Uppsala University
649,,Herbert A. Simon,Economics,1978,Carnegie Mellon University
650,,Christopher A. Sims,Economics,2011,Princeton University
651,,Jens Christian Skou,Chemistry,1997,Aarhus University
652,,Richard Smalley,Chemistry,1996,Rice University
653,,George E. Smith,Physics,2009,Bell Labs
654,,George P. Smith,Chemistry,2018,University of Missouri
655,,Hamilton O. Smith,Physiology or Medicine,1978,Johns Hopkins School of Medicine
656,,Michael Smith,Chemistry,1993,University of British Columbia
657,,Vernon L. Smith,Economics,2002,George Mason University
658,,Oliver Smithies,Physiology or Medicine,2007,University of North Carolina at Chapel Hill
659,,George Smoot,Physics,2006,"University of California, Berkeley"
660,,George Davis Snell,Physiology or Medicine,1980,Jackson Laboratory
661,,Frederick Soddy,Chemistry,1921,University of Oxford
662,,Robert Solow,Economics,1987,Massachusetts Institute of Technology
663,,Hans Spemann,Physiology or Medicine,1935,University of Freiburg
664,,Michael Spence,Economics,2001,Stanford University
665,,Roger Wolcott Sperry,Physiology or Medicine,1981,California Institute of Technology
666,,Wendell Meredith Stanley,Chemistry,1946,Rockefeller University
667,,Johannes Stark,Physics,1919,University of Greifswald
668,,Hermann Staudinger,Chemistry,1953,University of Freiburg
669,,William Howard Stein,Chemistry,1972,Rockefeller University
670,,Ralph M. Steinman,Physiology or Medicine,2011,Rockefeller University
671,,Jack Steinberger,Physics,1988,CERN
672,,Thomas A. Steitz,Chemistry,2009,Howard Hughes Medical Institute
673,,Yale University,,,
674,,Otto Stern,Physics,1943,Carnegie Mellon University
675,,George Stigler,Economics,1982,University of Chicago
676,,Joseph Stiglitz,Economics,2001,Columbia University
677,,Fraser Stoddart,Chemistry,2016,Northwestern University
678,,Richard Stone,Economics,1984,University of Cambridge
679,,Horst Ludwig Störmer,Physics,1998,Columbia University
680,,Donna Strickland,Physics,2018,University of Waterloo
681,,"John William Strutt, 3rd Baron Rayleigh",Physics,1904,Royal Institution
682,,Thomas C. Südhof,Physiology or Medicine,2013,Howard Hughes Medical Institute
683,,Stanford University,,,
684,,John Sulston,Physiology or Medicine,2002,Wellcome Sanger Institute
685,,James B. Sumner,Chemistry,1946,Cornell University
686,,Earl Wilbur Sutherland Jr.,Physiology or Medicine,1971,Vanderbilt University
687,,Akira Suzuki,Chemistry,2010,Hokkaido University
688,,Theodor Svedberg,Chemistry,1926,Uppsala University
689,,Richard Laurence Millington Synge,Chemistry,1952,The Rowett Institute
690,,Albert Szent-Györgyi,Physiology or Medicine,1937,University of Szeged
691,,Jack W. Szostak,Physiology or Medicine,2009,Harvard Medical School
692,,Howard Hughes Medical Institute,,,
693,,Massachusetts General Hospital,,,
694,,Igor Tamm,Physics,1958,Lebedev Physical Institute
695,,Moscow State University,,,
696,,Koichi Tanaka,Chemistry,2002,Shimadzu
697,,Edward Tatum,Physiology or Medicine,1958,Rockefeller University
698,,Henry Taube,Chemistry,1983,Stanford University
699,,Joseph Hooton Taylor Jr.,Physics,1993,Princeton University
700,,Richard E. Taylor,Physics,1990,Stanford University
701,,Howard Martin Temin,Physiology or Medicine,1975,University of Wisconsin–Madison
702,,Richard Thaler,Economics,2017,University of Chicago
703,,Max Theiler,Physiology or Medicine,1951,Rockefeller Foundation
704,,Hugo Theorell,Physiology or Medicine,1955,Karolinska Institute
705,,E. Donnall Thomas,Physiology or Medicine,1990,Fred Hutchinson Cancer Research Center
706,,George Paget Thomson,Physics,1937,University College London
707,,J. J. Thomson,Physics,1906,University of Cambridge
708,,Kip Thorne,Physics,2017,California Institute of Technology
709,,LIGO Scientific Collaboration,,,
710,,David J. Thouless,Physics,2016,University of Washington
711,,Jan Tinbergen,Economics,1969,Netherlands School of Economics
712,,Nikolaas Tinbergen,Physiology or Medicine,1973,University of Oxford
713,,Samuel C. C. Ting,Physics,1976,Massachusetts Institute of Technology
714,,Jean Tirole,Economics,2014,Toulouse School of Economics
715,,Arne Tiselius,Chemistry,1948,Uppsala University
716,,James Tobin,Economics,1981,Yale University
717,,Alexander R. Todd,Chemistry,1957,University of Cambridge
718,,Shin'ichirō Tomonaga,Physics,1965,University of Tsukuba
719,,Susumu Tonegawa,Physiology or Medicine,1987,Massachusetts Institute of Technology
720,,Charles H. Townes,Physics,1964,Massachusetts Institute of Technology
721,,Roger Y. Tsien,Chemistry,2008,Howard Hughes Medical Institute
722,,"University of California, San Diego",,,
723,,Daniel C. Tsui,Physics,1998,Princeton University
724,,Harold Urey,Chemistry,1934,Columbia University
725,,John Vane,Physiology or Medicine,1982,Wellcome Research Laboratories
726,,Harold E. Varmus,Physiology or Medicine,1989,UCSF School of Medicine
727,,William Vickrey,Economics,1996,Columbia University
728,,Vincent du Vigneaud,Chemistry,1955,Cornell University
729,,Artturi Ilmari Virtanen,Chemistry,1945,University of Helsinki
730,,John Hasbrouck Van Vleck,Physics,1977,Harvard University
731,,Johannes Diderik van der Waals,Physics,1910,University of Amsterdam
732,,Julius Wagner-Jauregg,Physiology or Medicine,1927,University of Vienna
733,,Selman Waksman,Physiology or Medicine,1952,Rutgers University
734,,George Wald,Physiology or Medicine,1967,Harvard University
735,,John E. Walker,Chemistry,1997,MRC Laboratory of Molecular Biology
736,,Otto Wallach,Chemistry,1910,University of Göttingen
737,,Ernest Walton,Physics,1951,Trinity College Dublin
738,,Otto Heinrich Warburg,Physiology or Medicine,1931,Max Planck Institute for Biology
739,,Arieh Warshel,Chemistry,2013,University of Southern California
740,,James Watson,Physiology or Medicine,1962,Harvard University
741,,Steven Weinberg,Physics,1979,Harvard University
742,,Rainer Weiss,Physics,2017,LIGO Scientific Collaboration
743,,Massachusetts Institute of Technology,,,
744,,Thomas Huckle Weller,Physiology or Medicine,1954,Boston Children's Hospital
745,,Alfred Werner,Chemistry,1913,University of Zurich
746,,M. Stanley Whittingham,Chemistry,2019,Binghamton University
747,,George Whipple,Physiology or Medicine,1934,University of Rochester
748,,Heinrich Otto Wieland,Chemistry,1927,Ludwig Maximilian University of Munich
749,,Carl Wieman,Physics,2001,JILA
750,,Wilhelm Wien,Physics,1911,University of Würzburg
751,,Eric F. Wieschaus,Physiology or Medicine,1995,Princeton University
752,,Torsten Wiesel,Physiology or Medicine,1981,Harvard Medical School
753,,Eugene Wigner,Physics,1963,Princeton University
754,,Frank Wilczek,Physics,2004,Massachusetts Institute of Technology
755,,Maurice Wilkins,Physiology or Medicine,1962,University College London
756,,Geoffrey Wilkinson,Chemistry,1973,Imperial College London
757,,Oliver E. Williamson,Economics,2009,"University of California, Berkeley"
758,,Richard Willstätter,Chemistry,1915,Ludwig Maximilian University of Munich
759,,Charles Thomson Rees Wilson,Physics,1927,University of Cambridge
760,,Kenneth G. Wilson,Physics,1982,Cornell University
761,,Robert B. Wilson,Economics,2020,Stanford University
762,,Robert Woodrow Wilson,Physics,1978,Bell Labs
763,,Adolf Windaus,Chemistry,1928,University of Göttingen
764,,David J. Wineland,Physics,2012,National Institute of Standards and Technology
765,,University of Colorado Boulder,,,
766,,Gregory Winter,Chemistry,2018,MRC Laboratory of Molecular Biology
767,,Georg Wittig,Chemistry,1979,Heidelberg University
768,,Robert Burns Woodward,Chemistry,1965,Harvard University
769,,Kurt Wüthrich,Chemistry,2002,ETH Zurich
770,,Scripps Research,,,
771,,Rosalyn Sussman Yalow,Physiology or Medicine,1977,James J. Peters VA Medical Center
772,,Shinya Yamanaka,Physiology or Medicine,2012,Gladstone Institutes
773,,Kyoto University,,,
774,,Chen-ning Yang,Physics,1957,Institute for Advanced Study
775,,Ada Yonath,Chemistry,2009,Weizmann Institute of Science
776,,Akira Yoshino,Chemistry,2019,Asahi Kasei
777,,Meijo University,,,
778,,Michael W. Young,Physiology or Medicine,2011,Rockefeller University
779,,Tu Youyou,Physiology or Medicine,2015,China Academy of Traditional Chinese Medicine
780,,Hideki Yukawa,Physics,1949,Columbia University
781,,Kyoto University,,,
782,,Pieter Zeeman,Physics,1902,University of Amsterdam
783,,Frits Zernike,Physics,1953,University of Groningen
784,,Ahmed Zewail,Chemistry,1999,California Institute of Technology
785,,Karl Ziegler,Chemistry,1963,Max Planck Institute for Coal Research
786,,Rolf M. Zinkernagel,Physiology or Medicine,1996,University of Zurich
787,,Richard Adolf Zsigmondy,Chemistry,1925,University of Göttingen
